MetroArea,TargetEthnicity,EthnicPop,MetroPop
"Baltimore-Columbia-Towson, MD",India,24519,2780873
"Baton Rouge, LA",India,2213,824667
"Birmingham-Hoover, AL",India,3460,1141309
"Bloomington, IL",India,5360,189576
"Boston-Cambridge-Newton, MA-NH",India,49955,4728844
"Boulder, CO",India,2362,313961
"Bridgeport-Stamford-Norwalk, CT",India,12753,941618
"Buffalo-Cheektowaga-Niagara Falls, NY",India,5201,1135503
"Champaign-Urbana, IL",India,2715,236647
"Charlotte-Concord-Gastonia, NC-SC",India,22350,2381152
"Chicago-Naperville-Elgin, IL-IN-WI",India,133067,9528396
"Cincinnati, OH-KY-IN",India,12657,2146410
"Cleveland-Elyria, OH",India,10827,2061630
"Columbia, SC",India,3191,800559
"Columbus, IN",India,2293,80203
"Columbus, OH",India,17903,1995004
"Dallas-Fort Worth-Arlington, TX",India,90384,6957123
"Davenport-Moline-Rock Island, IA-IL",India,2073,383304
"Dayton, OH",India,3798,800950
"Denver-Aurora-Lakewood, CO",India,13254,2752056
"Des Moines-West Des Moines, IA",India,3243,611755
"Detroit-Warren-Dearborn, MI",India,45645,4296731
"Durham-Chapel Hill, NC",India,3231,542399
"Fayetteville-Springdale-Rogers, AR-MO",India,4581,503642
"Fresno, CA",India,13310,963160
"Gainesville, FL",India,2464,273614
"Grand Rapids-Wyoming, MI",India,2232,1028173
"Greensboro-High Point, NC",India,3440,746301
"Greenville-Anderson-Mauldin, SC",India,2585,862064
"Harrisburg-Carlisle, PA",India,4510,561447
"Hartford-West Hartford-East Hartford, CT",India,16365,1211826
"Houston-The Woodlands-Sugar Land, TX",India,79172,6482592
"Indianapolis-Carmel-Anderson, IN",India,13417,1968768
"Jacksonville, FL",India,5446,1424097
"Kansas City, MO-KS",India,9560,2070147
"Knoxville, TN",India,2351,857111
"Lafayette-West Lafayette, IN",India,2102,212113
"Lansing-East Lansing, MI",India,3478,470348
"Las Vegas-Henderson-Paradise, NV",India,5293,2070153
"Little Rock-North Little Rock-Conway, AR",India,2708,727371
"Los Angeles-Long Beach-Anaheim, CA",India,85943,13189366
"Louisville/Jefferson County, KY-IN",India,4733,1269550
"Madison, WI",India,3771,634269
"Manchester-Nashua, NH",India,4108,404948
"Memphis, TN-MS-AR",India,4822,1341339
"Merced, CA",India,3149,265001
"Miami-Fort Lauderdale-West Palm Beach, FL",India,22534,5926955
"Milwaukee-Waukesha-West Allis, WI",India,10223,1571730
"Minneapolis-St. Paul-Bloomington, MN-WI",India,26214,3488436
"Modesto, CA",India,4472,530561
"Nashville-Davidson--Murfreesboro--Franklin, TN",India,9040,1794570
"New Haven-Milford, CT",India,6791,860874
"New Orleans-Metairie, LA",India,2901,1250247
"New York-Newark-Jersey City, NY-NJ-PA",India,345130,20031443
"North Port-Sarasota-Bradenton, FL",India,2229,751422
"Oklahoma City, OK",India,4807,1337075
"Omaha-Council Bluffs, NE-IA",India,4061,904834
"Orlando-Kissimmee-Sanford, FL",India,12438,2328508
"Oxnard-Thousand Oaks-Ventura, CA",India,8375,843110
"Peoria, IL",India,3185,379241
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",India,72673,6047721
"Phoenix-Mesa-Scottsdale, AZ",India,29859,4486153
