MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"South Bend-Mishawaka, IN-MI",Mexico,th,rd,140,143,41.7514,-86.2934,0.018291595,5844,6000,319000,319491
"Sioux City, IA-NE-SD",Mexico,nd,th,62,118,42.6474,-96.4377,0.051041210,8613,9000,169000,168746
"Sierra Vista-Douglas, AZ",Mexico,st,th,41,111,31.8803,-109.7499,0.075107078,9627,10000,128000,128177
"Shreveport-Bossier City, LA",Mexico,th,nd,198,182,32.4317,-93.6401,0.007751102,3451,3000,445000,445227
"Sherman-Denison, TX",Mexico,th,th,76,154,33.6787,-96.662,0.036979498,4594,5000,124000,124231
"Sebring, FL",Mexico,th,th,87,187,27.3395,-81.3049,0.030254294,2991,3000,99000,98862
"Sebastian-Vero Beach, FL",Mexico,th,th,99,170,27.7096,-80.5941,0.026558049,3860,4000,145000,145342
"Seattle-Tacoma-Bellevue, WA",Mexico,th,th,109,24,47.5137,-121.885,0.024146746,88645,89000,3671000,3671095
"Scranton--Wilkes-Barre--Hazleton, PA",Mexico,th,th,216,205,41.2768,-75.8782,0.004524038,2533,3000,560000,559898
"Savannah, GA",Mexico,th,st,175,161,32.1505,-81.4468,0.011291868,4207,4000,373000,372569
"Santa Rosa, CA",Mexico,th,st,28,41,38.4629,-122.8943,0.096615747,48093,48000,498000,497776
"Santa Maria-Santa Barbara, CA",Mexico,th,th,11,29,34.7203,-120.0629,0.155907555,68505,69000,439000,439395
"Santa Fe, NM",Mexico,th,th,36,100,35.5258,-105.9833,0.079480043,11709,12000,147000,147320
"Santa Cruz-Watsonville, CA",Mexico,rd,th,23,55,37.0528,-122.0429,0.110880630,30041,30000,271000,270931
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",Mexico,rd,th,53,85,35.3477,-120.3665,0.056451844,15732,16000,279000,278680
"San Jose-Sunnyvale-Santa Clara, CA",Mexico,th,th,37,15,36.8407,-121.3746,0.077673026,150927,151000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",Mexico,th,th,56,9,37.6888,-122.0651,0.054269005,248418,248000,4578000,4577530
"San Diego-Carlsbad, CA",Mexico,th,th,25,6,33.0164,-116.7305,0.104419867,339715,340000,3253000,3253356
"San Antonio-New Braunfels, TX",Mexico,th,th,39,13,29.376,-98.6267,0.075909010,177046,177000,2332000,2332345
"San Angelo, TX",Mexico,th,th,67,147,31.3904,-100.6915,0.045523559,5367,5000,118000,117895
"Salt Lake City, UT",Mexico,th,rd,65,33,40.4903,-112.926,0.047928808,55334,55000,1155000,1154504
"Salisbury, MD-DE",Mexico,nd,rd,172,153,38.4443,-75.4108,0.011984383,4675,5000,390000,390091
"Salinas, CA",Mexico,th,nd,5,22,36.3545,-121.5249,0.224787948,96704,97000,430000,430201
"Salem, OR",Mexico,th,nd,35,52,44.9843,-123.1472,0.079793184,32316,32000,405000,404997
"Sacramento--Roseville--Arden-Arcade, CA",Mexico,th,st,64,21,38.6673,-121.1593,0.049180796,110290,110000,2243000,2242542
