MetroArea.1.1,MetroArea.1.2,MetroArea.1.3,MetroArea.1.4,MetroArea.1.5,MetroArea.1.6,MetroArea.2.1,MetroArea.2.2,MetroArea.2.3,MetroArea.2.4,TargetEthnicity,EthnicPop,MetroPop
Napa,,,,,, CA,,,,Philippines,4334,140823
Nashville,,,,,, TN,,,,Philippines,2236,1794570
New York,,,,,, NY,,,,Philippines,154674,20031443
Oklahoma City,,,,,, OK,,,,Philippines,2047,1337075
Orlando,,,,,, FL,,,,Philippines,12646,2328508
Oxnard,,,,,, CA,,,,Philippines,14377,843110
Philadelphia,,,,,, PA,,,,Philippines,19078,6047721
Phoenix,,,,,, AZ,,,,Philippines,22260,4486153
Pittsburgh,,,,,, PA,,,,Philippines,2035,2354926
Portland,,,,,, OR,,,,Philippines,10721,2351319
Providence,,,,,, RI,,,,Philippines,2773,1609359
Raleigh,,,,,, NC,,,,Philippines,2500,1243720
Reno,,,,,, NV,,,,Philippines,7603,443855
Richmond,,,,,, VA,,,,Philippines,2818,1258158
Riverside,,,,,, CA,,,,Philippines,62177,4430646
Sacramento,,,,,, CA,,,,Philippines,36839,2242542
Salinas,,,,,, CA,,,,Philippines,7436,430201
Salt Lake City,,,,,, UT,,,,Philippines,2152,1154504
San Antonio,,,,,, TX,,,,Philippines,9305,2332345
San Diego,,,,,, CA,,,,Philippines,100564,3253356
San Francisco,,,,,, CA,,,,Philippines,162737,4577530
San Jose,,,,,, CA,,,,Philippines,60006,1943107
Santa Maria,,,,,, CA,,,,Philippines,4448,439395
Santa Rosa,,,,,, CA,,,,Philippines,2332,497776
Seattle,,,,,, WA,,,,Philippines,47794,3671095
St. Louis,,,,,, MO,,,,Philippines,5343,2803449
Stockton,,,,,, CA,,,,Philippines,22062,714860
Tampa,,,,,, FL,,,,Philippines,12042,2927714
Honolulu,,,,,, HI,,,,Philippines,81060,986999
Vallejo,,,,,, CA,,,,Philippines,28386,429596
Newport News,,,,,, VA,,,,Philippines,20918,1714428
Porterville,,,,,, CA,,,,Philippines,4071,455769
Washington,,,,,, DC,,,,Philippines,48497,6011752
Los Angeles,,,,,, CA,,,,Sri Lanka,7116,13189366
New York,,,,,, NY,,,,Sri Lanka,7636,20031443
Washington,,,,,, DC,,,,Sri Lanka,3491,6011752
Atlanta,,,,,, GA,,,,Taiwan,4996,5612777
Austin,,,,,, TX,,,,Taiwan,3024,1942615
Baltimore,,,,,, MD,,,,Taiwan,2207,2780873
Boston,,,,,, MA,,,,Taiwan,7082,4728844
Chicago,,,,,, IL,,,,Taiwan,8157,9528396
Dallas,,,,,, TX,,,,Taiwan,9273,6957123
Denver,,,,,, CO,,,,Taiwan,2033,2752056
Houston,,,,,, TX,,,,Taiwan,12104,6482592
Las Vegas,,,,,, NV,,,,Taiwan,3501,2070153
Los Angeles,,,,,, CA,,,,Taiwan,88590,13189366
Miami,,,,,, FL,,,,Taiwan,2403,5926955
New York,,,,,, NY,,,,Taiwan,42585,20031443
Philadelphia,,,,,, PA,,,,Taiwan,4222,6047721
Phoenix,,,,,, AZ,,,,Taiwan,2621,4486153
Portland,,,,,, OR,,,,Taiwan,3156,2351319
Riverside,,,,,, CA,,,,Taiwan,10697,4430646
Sacramento,,,,,, CA,,,,Taiwan,3584,2242542
San Diego,,,,,, CA,,,,Taiwan,7435,3253356
San Francisco,,,,,, CA,,,,Taiwan,28045,4577530
San Jose,,,,,, CA,,,,Taiwan,28101,1943107
Seattle,,,,,, WA,,,,Taiwan,11208,3671095
Urban Honolulu,,,,,, HI,,,,Taiwan,2618,986999
Washington,,,,,, DC,,,,Taiwan,12394,6011752
Anchorage,,,,,, AK,,,,Thailand,2272,398000
Atlanta,,,,,, GA,,,,Thailand,3845,5612777
Boston,,,,,, MA,,,,Thailand,4174,4728844
Chicago,,,,,, IL,,,,Thailand,5985,9528396
Dallas,,,,,, TX,,,,Thailand,4962,6957123
Denver,,,,,, CO,,,,Thailand,2345,2752056
Fresno,,,,,, CA,,,,Thailand,5525,963160
Houston,,,,,, TX,,,,Thailand,4568,6482592
Las Vegas,,,,,, NV,,,,Thailand,4870,2070153
Los Angeles,,,,,, CA,,,,Thailand,25688,13189366
Miami,,,,,, FL,,,,Thailand,3664,5926955
St. Paul,,,,,, MN,,,,Thailand,15658,3488436
New York,,,,,, NY,,,,Thailand,9217,20031443
Philadelphia,,,,,, PA,,,,Thailand,2262,6047721
Phoenix,,,,,, AZ,,,,Thailand,3484,4486153
Portland,,,,,, OR,,,,Thailand,3194,2351319
Riverside,,,,,, CA,,,,Thailand,5025,4430646
Sacramento,,,,,, CA,,,,Thailand,7613,2242542
San Diego,,,,,, CA,,,,Thailand,3061,3253356
San Francisco,,,,,, CA,,,,Thailand,8140,4577530
San Jose,,,,,, CA,,,,Thailand,2727,1943107
Seattle,,,,,, WA,,,,Thailand,6184,3671095
Stockton,,,,,, CA,,,,Thailand,3198,714860
Tampa,,,,,, FL,,,,Thailand,2427,2927714
Washington,,,,,, DC,,,,Thailand,8761,6011752
Albuquerque,,,,,, NM,,,,Vietnam,2915,904486
Atlanta,,,,,, GA,,,,Vietnam,29995,5612777
Austin,,,,,, TX,,,,Vietnam,12315,1942615
Baltimore,,,,,, MD,,,,Vietnam,4985,2780873
Baton Rouge,,,,,, LA,,,,Vietnam,3674,824667
Boston,,,,,, MA,,,,Vietnam,27769,4728844
Charlotte,,,,,, NC,,,,Vietnam,9305,2381152
Chicago,,,,,, IL,,,,Vietnam,16502,9528396
Cincinnati,,,,,, OH,,,,Vietnam,2833,2146410
Columbus,,,,,, OH,,,,Vietnam,2731,1995004
Dallas,,,,,, TX,,,,Vietnam,56374,6957123
